"nome","idade","sexo","cpf","escolaridade","data_nasc"
"Thales Barbosa","","","","","1951-01-04"
"Asafe Caldeira","","","073.528.419-97","",""
"Apollo Vasconcelos","","","386.570.941-93","Graduação","32/13/2000"
"Srta. Marina Sampaio","","F","123.456.789-00","Ensino Fundamental",""
"Ana Laura da Costa","","","310.894.752-41","Ensino Médio",""
"Benjamin Cardoso","","F","123.456.789-00","Graduação","1987-07-14"
"Camila Ribeiro","","M","","Graduação","1974-08-04"
"Dr. Joaquim Moura","","","123.456.789-00","","32/13/2000"
"Vicente da Conceição","","F","","Mestrado","32/13/2000"
"Antônio Monteiro","","","123.456.789-00","Ensino Médio","1985-08-23"
"Allana Garcia","","Outro","670.193.524-99","Ensino Fundamental",""
"Leandro Andrade","","Outro","123.456.789-00","Graduação",""
"Ana Laura Caldeira","","F","","Doutorado",""
"Nina Souza","","M","123.456.789-00","Ensino Médio",""
"Maria Laura Andrade","","M","945.276.031-16","","1977-01-28"
"Felipe Macedo","","F","","Ensino Fundamental",""
"Bruno da Mota","","","","Ensino Fundamental",""
"Ian Pires","","","123.456.789-00","Ensino Médio",""
"Yuri Silva","","","123.456.789-00","","1980-12-27"
"Breno Montenegro","","","718.962.435-09","Graduação","32/13/2000"
"Mariane da Paz","","F","","Ensino Fundamental",""
"Arthur Castro",19,"","","",""
"Sophia Viana",31,"Outro","","Ensino Médio",""
"Theodoro Oliveira","","M","","Mestrado","1976-07-11"
"Gael Oliveira",41,"","","Doutorado","1966-03-13"
"Maria Luísa Fonseca",23,"","","Graduação",""
"Carolina Nascimento","","F","362.475.810-17","Graduação",""
"Mariah Montenegro","","Outro","123.456.789-00","Doutorado",""
"Olivia Souza","","Outro","","","2003-06-20"
"Maria Julia Lima","","F","123.456.789-00","Graduação",""
"Bianca Silveira",35,"","123.456.789-00","Mestrado","32/13/2000"
"Srta. Sophia Barros","","Outro","","Mestrado","32/13/2000"
"Lara Vargas","","F","123.456.789-00","","32/13/2000"
"Sr. Diego Aparecida","","","123.456.789-00","Mestrado","32/13/2000"
"João Pedro da Mota",90,"Outro","793.125.086-95","Doutorado","1952-07-31"
"Gustavo Novaes","","F","820.476.153-80","",""
"Sr. João Miguel Oliveira","","Outro","","",""
"Sabrina da Luz",37,"M","123.456.789-00","Ensino Médio","1943-07-05"
"Sr. Thiago Farias","","","123.456.789-00","Doutorado","32/13/2000"
"Sr. Arthur Miguel Porto","","M","","Ensino Fundamental",""
"Ester Siqueira","","","","",""
"Giovanna Santos","","","","Ensino Médio","32/13/2000"
"Vitória Ribeiro",42,"M","","","1981-12-29"
"Rafaela da Rocha","","F","123.456.789-00","","32/13/2000"
"Felipe Martins",26,"","","",""
"João Vitor da Mata",76,"","","","1989-05-11"
"Melina Lima","","Outro","","Doutorado","1975-05-19"
"Maria Luísa Câmara",84,"","","","1936-04-06"
"Ayla Vasconcelos","","","","","1954-10-04"
"Maria Laura Silva","","","342.769.150-07","Ensino Médio",""
"Antônio Sá","","Outro","","Mestrado","32/13/2000"
"Josué Andrade","","","416.538.207-80","","32/13/2000"
"Maria Vitória Almeida","","","082.954.361-98","","1977-06-13"
"Sophie Souza","","","123.456.789-00","Mestrado",""
"Paulo Borges","","M","123.456.789-00","Mestrado","32/13/2000"
"Sra. Maria Fernanda Teixeira",76,"Outro","","","32/13/2000"
"Bianca Ramos",33,"M","","",""
"Isadora Barros","","","123.456.789-00","Mestrado",""
"Luana Sousa",23,"Outro","123.456.789-00","Ensino Médio","32/13/2000"
"Rebeca Nogueira","","M","","Graduação",""
